amfi_code,scheme_name,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score
148567,Mirae Asset Large Cap Fund - Regular - Growth,97.5,100.0,85.0,45.0,82.5,86.25
120505,ICICI Pru Midcap Fund - Regular - Growth,90.0,92.5,95.0,65.0,40.0,82.875
120843,Kotak Flexicap Fund - Regular - Growth,85.0,97.5,90.0,47.5,70.0,82.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,92.5,85.0,87.5,60.0,52.5,80.75
120504,ICICI Pru Bluechip Fund - Direct - Growth,95.0,75.0,70.0,72.5,72.5,79.375
119094,Axis Midcap Fund - Regular - Growth,100.0,80.0,80.0,60.0,32.5,78.25
119551,SBI Bluechip Fund - Regular Plan - Growth,87.5,90.0,77.5,26.25,60.0,74.1875
148569,Mirae Asset Tax Saver Fund - Regular - Growth,82.5,95.0,92.5,11.25,50.0,73.6875
119598,SBI Small Cap Fund - Regular Plan - Growth,72.5,70.0,100.0,50.0,12.5,68.0
101206,ABSL Frontline Equity Fund - Regular - Growth,80.0,77.5,72.5,11.25,80.0,67.5625
149324,DSP Small Cap Fund - Regular - Growth,77.5,72.5,97.5,36.25,10.0,67.3125
149323,DSP Midcap Fund - Regular - Growth,75.0,87.5,82.5,7.5,47.5,66.75
118632,Nippon India Large Cap Fund - Regular - Growth,67.5,82.5,75.0,41.25,45.0,66.5625
119552,SBI Bluechip Fund - Direct Plan - Growth,45.0,67.5,65.0,92.5,75.0,64.75
125497,HDFC Top 100 Fund - Direct Plan - Growth,55.00000000000001,57.49999999999999,62.5,67.5,57.49999999999999,59.25
118633,Nippon India Large Cap Fund - Direct - Growth,65.0,50.0,47.5,88.75,37.5,58.5625
118635,Nippon India ETF Nifty 50 BeES,60.0,52.5,45.0,70.0,77.5,58.375
102885,UTI Nifty 50 Index Fund - Regular - Growth,57.49999999999999,62.5,55.00000000000001,17.5,85.0,55.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,40.0,60.0,60.0,52.5,67.5,53.625
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,42.5,65.0,67.5,36.25,55.00000000000001,53.4375
120506,ICICI Pru Value Discovery Fund - Regular - Growth,52.5,55.00000000000001,52.5,55.00000000000001,35.0,51.75
119093,Axis Bluechip Fund - Direct - Growth,62.5,32.5,32.5,82.5,25.0,48.25
102887,UTI Flexi Cap Fund - Regular - Growth,70.0,47.5,50.0,3.75,27.500000000000004,46.1875
149322,DSP Top 100 Equity Fund - Regular - Growth,50.0,40.0,42.5,26.25,62.5,43.6875
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,37.5,37.5,37.5,77.5,30.0,42.75
118634,Nippon India Small Cap Fund - Regular - Growth,35.0,45.0,57.49999999999999,31.25,22.5,40.1875
120841,Kotak Bluechip Fund - Regular - Growth,47.5,42.5,40.0,15.0,42.5,39.375
120507,ICICI Pru Liquid Fund - Regular - Growth,30.0,7.5,25.0,85.0,100.0,38.625
120844,Kotak Liquid Fund - Regular - Growth,27.500000000000004,5.0,22.5,95.0,97.5,38.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,20.0,12.5,15.0,100.0,87.5,35.875
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,22.5,15.0,17.5,80.0,90.0,35.0
100025,HDFC Short Term Debt Fund - Regular - Growth,17.5,10.0,7.5,97.5,92.5,33.125
101208,ABSL Liquid Fund - Regular - Growth,25.0,2.5,20.0,75.0,95.0,32.875
120842,Kotak Emerging Equity Fund - Regular - Growth,32.5,30.0,30.0,20.0,20.0,28.25
119599,SBI Small Cap Fund - Direct Plan - Growth,7.5,25.0,12.5,88.75,2.5,24.5625
119092,Axis Bluechip Fund - Regular - Growth,12.5,27.500000000000004,27.500000000000004,3.75,65.0,23.1875
101207,ABSL Small Cap Fund - Regular - Growth,5.0,35.0,35.0,31.25,7.5,22.6875
119095,Axis Small Cap Fund - Regular - Growth,2.5,22.5,10.0,60.0,5.0,17.875
102886,UTI Mid Cap Fund - Regular - Growth,10.0,20.0,2.5,41.25,15.0,16.1875
100016,HDFC Top 100 Fund - Regular Plan - Growth,15.0,17.5,5.0,22.5,17.5,15.0
